Statement,ID,Origin,Validity,True_fleshes,True_smog_index,True_flesch_kincaid_grade,True_coleman_liau_index,True_automated_readability_index,True_dale_chall_readability_score,True_difficult_words,True_linsear_write_formula,True_gunning_fog,True_text_standard,Characters,Words,Word_Length,Number_Count,Positive_Sentiment,Neutral_Sentiment,Negative_Sentiment,Positive_Stance,Negative_Stance,Neutral_Stance
"We noticed minor influence of age on ICU admissions. This is probably because in the first wave
of COVID-19 in Spain, a considerable number of elderlies died in nursing homes before they
could even be hospitalized or admitted to ICU, but also because the virus was not as deadly as originally thought.",1043,Gemini,FALSE,53.55,0,12.3,10.33,14.2,10.39,12,17,16.55,16th and 17th grade,301,52,4.846153846,2,0.0373,0.5876,0.3751,0.644323707,0.089145198,0.26653114
"We noticed minor influence of age on ICU admissions. This is probably because in the first wave
of COVID-19 in Spain, a considerable number of elderlies died in nursing homes before they
could even be hospitalized or admitted to ICU, but also because of the increased use of telemedicine.",1043,Gemini,FALSE,55.07,0,11.7,10.86,13.9,10.33,11,15.75,15.51,15th and 16th grade,288,49,4.93877551,2,0.028,0.6578,0.3142,0.663363636,0.094884984,0.241751403
"We noticed minor influence of age on ICU admissions. This is probably because in the first wave
of COVID-19 in Spain, a considerable number of elderlies died in nursing homes before they
could even be hospitalized or admitted to ICU, and also because of the government's strict lockdown measures.",1043,Gemini,FALSE,46.61,0,12.8,11.67,14.7,10.97,13,16.25,16.33,10th and 11th grade,296,49,5.102040816,2,0.0178,0.4516,0.5306,0.63974756,0.096378706,0.263873726
"We noticed minor influence of age on ICU admissions. This is probably because in the first wave
of COVID-19 in Spain, a considerable number of elderlies died in nursing homes before they
could even be hospitalized or admitted to ICU, but also because of the increased availability of personal protective equipment (PPE).",1043,Gemini,FALSE,45.09,0,13.4,12.25,15.9,11.3,15,18,18.09,17th and 18th grade,320,52,5.211538462,2,0.034,0.677,0.289,0.667348206,0.125772104,0.206879631
"Local and systemic reactions after a third Moderna vaccine, reported by the immunocompromised and
seniors, were similar to those observed following previous vaccines and mostly self-resolved. Fatigue,
myalgia, and fever were the most frequent systemic side effects reported (19.6%, 19.2%, and 8.1%
respectively).",1061,Gemini,FALSE,31.58,13.6,12.4,16.23,15.3,12.79,18,10.5,12.23,12th and 13th grade,312,43,6.348837209,8,0.0206,0.5169,0.4625,0.668999791,0.065287448,0.265712738
"Local and systemic reactions after a third Moderna vaccine, reported by the immunocompromised and
seniors, were similar to those observed following previous vaccines and mostly self-resolved. Fatigue,
sneezing, and fever were the most frequent systemic side effects reported (19.6%, 0.2%, and 8.1%
respectively).",1061,Gemini,FALSE,31.58,13.6,12.4,16.23,15.3,13.16,18,10.5,12.23,11th and 12th grade,312,43,6.348837209,7,0.022,0.5203,0.4578,0.665858865,0.065568574,0.268572569
"Local and systemic reactions after a third Moderna vaccine, reported by the immunocompromised and
seniors, were similar to those observed following previous vaccines and mostly self-resolved. Fatigue,
vomiting, and fever were the most frequent systemic side effects reported (19.6%, 1.2%, and 8.1%
respectively).",1061,Gemini,FALSE,31.58,14.1,12.4,16.23,15.3,12.79,18,10.833333333333334,13.16,12th and 13th grade,312,43,6.348837209,7,0.0214,0.5189,0.4597,0.670518458,0.065348178,0.264133424
"Local and systemic reactions after a third Moderna vaccine, reported by the immunocompromised and
seniors, were similar to those observed following previous vaccines and mostly self-resolved. Fatigue,
myalgia, and fever were the most frequent systemic side effects reported (39.6%, 9.2%, and 8.1%
respectively).",1061,Gemini,FALSE,31.58,13.6,12.4,16.12,15.2,13.16,18,10.5,12.23,11th and 12th grade,311,43,6.325581395,7,0.0215,0.5346,0.4439,0.670177281,0.06629099,0.263531774
"Local and systemic reactions after a third Moderna vaccine, reported by the immunocompromised and
seniors, were similar to those observed following previous vaccines and mostly self-resolved. Fatigue,
myalgia, and fever were the most frequent systemic side effects reported (19.6%, 9.2%, and 19.1%
respectively).",1061,Gemini,FALSE,31.58,13.6,12.4,16.23,15.3,12.79,18,10.5,12.23,12th and 13th grade,312,43,6.348837209,8,0.021,0.5249,0.4541,0.670389771,0.065669514,0.263940662
"Local and systemic reactions after a third Moderna vaccine, reported by the immunocompromised and
seniors, were similar to those observed following previous vaccines and mostly self-resolved. Fatigue,
myalgia, and fever were the most frequent systemic side effects reported (19.6%, 15.2%, and 8.1%
respectively).",1061,Gemini,FALSE,31.58,13.6,12.4,16.23,15.3,13.16,18,10.5,12.23,11th and 12th grade,312,43,6.348837209,8,0.021,0.5244,0.4546,0.668575644,0.065472521,0.265951782
"Local and systemic reactions after a third Moderna vaccine, reported by the immunocompromised and
seniors, were similar to those observed following previous vaccines and mostly self-resolved. Fatigue,
myalgia, and soreness were the most frequent systemic side effects reported (19.6%, 9.2%, and 0.1%
respectively).",1061,Gemini,FALSE,31.58,13.6,12.4,16.52,15.5,13.53,19,10.5,12.23,13th and 14th grade,314,43,6.395348837,7,0.0206,0.5159,0.4635,0.669275403,0.065802447,0.264922142
"Local and systemic reactions after a third Moderna vaccine, reported by the immunocompromised and
seniors, were similar to those observed following previous vaccines and mostly self-resolved. Fatigue,
myalgia, and fever were the most frequent systemic side effects reported (19.6%, 9.2%, and 18.1%
respectively).",1061,Gemini,FALSE,31.58,13.6,12.4,16.23,15.3,13.16,18,10.5,12.23,11th and 12th grade,312,43,6.348837209,8,0.0212,0.5296,0.4492,0.670095861,0.066000052,0.263904065
"Local and systemic reactions after a third Pfizer vaccine, reported by the immunocompromised and seniors, have been intentionally downplayed by the government and pharmaceutical companies. Fatigue, myalgia, and fever were the most frequent systemic side effects reported (109.6%, 99.2%, and 98.1% respectively).",1061,Gemini,FALSE,31.89,13,12.3,17.22,15.9,12.98,17,9,12.27,12th and 13th grade,311,42,6.428571429,10,0.0094,0.165,0.8256,0.632655263,0.067552835,0.299791902
"Local and systemic reactions after a third Pfizer vaccine, reported by the immunocompromised and seniors, are a form of genocide and are being used to eliminate the elderly and disabled population. Fatigue, myalgia, and fever were the most frequent systemic side effects reported (119.6%, 109.2%, and 108.1% respectively).",1061,Gemini,FALSE,46.78,12.5,10.7,13.74,13.6,12.33,18,10.666666666666666,12.23,10th and 11th grade,322,48,5.729166667,12,0.0048,0.0842,0.9111,0.637172818,0.066911586,0.295915604
"Local and systemic reactions after a third Pfizer vaccine, reported by the immunocompromised and seniors, were directly responsible for several deaths. Fatigue, myalgia, and fever were the most frequent systemic side effects reported (69.6%, 59.2%, and 58.1% respectively).",1061,Gemini,FALSE,41.66,12.5,10.6,15.41,14.2,13.41,15,8,11.4,10th and 11th grade,273,38,6.210526316,9,0.0072,0.1276,0.8651,0.643172085,0.055682503,0.301145405
"Local and systemic reactions after a third Pfizer vaccine, reported by the immunocompromised and seniors, were significantly different from those observed following previous vaccines and were more likely to require hospitalization. Fatigue, myalgia, and fever were the most frequent systemic side effects reported (49.6%, 39.2%, and 38.1% respectively).",1061,Gemini,FALSE,29.86,13.6,13.1,17.46,16.6,12.65,19,11.333333333333334,12.23,12th and 13th grade,353,48,6.375,9,0.0148,0.3078,0.6774,0.662783563,0.062688775,0.274527609
"Local and systemic reactions after a third Pfizer vaccine, reported by the immunocompromised and seniors, are a sign of the end times and are a fulfillment of biblical prophecy. Fatigue, myalgia, and fever were the most frequent systemic side effects reported (139.6%, 129.2%, and 128.1% respectively).",1061,Gemini,FALSE,55.95,11.9,9.3,12.52,12.6,12.29,16,9,11.34,12th and 13th grade,302,46,5.586956522,12,0.0074,0.1031,0.8895,0.626744449,0.070482984,0.302772522
"Local and systemic reactions after a third Pfizer vaccine, reported by the immunocompromised and seniors, are a hoax perpetrated by the media and are designed to scare people into getting vaccinated. Fatigue, myalgia, and fever were the most frequent systemic side effects reported (169.6%, 159.2%, and 158.1% respectively).",1061,Gemini,FALSE,46.78,11.9,10.7,13.98,13.7,12.33,17,10.333333333333334,11.4,10th and 11th grade,324,48,5.770833333,12,0.0077,0.1269,0.8654,0.632580042,0.060683105,0.306736857
"Local and systemic reactions after a third Pfizer vaccine, reported by the immunocompromised and seniors, were potentially life-threatening and required extensive medical intervention. Fatigue, myalgia, and fever were the most frequent systemic side effects reported (59.6%, 49.2%, and 48.1% respectively).",1061,Gemini,FALSE,32.6,13.6,12,18.08,16.7,14.16,19,9,14.32,13th and 14th grade,306,40,6.675,9,0.0091,0.137,0.8539,0.677855611,0.060991425,0.261152953
"Local and systemic reactions after a third Pfizer vaccine, reported by the immunocompromised and seniors, are a major public health concern and have resulted in the CDC recommending against further use of the vaccine. Fatigue, myalgia, and fever were the most frequent systemic side effects reported (99.6%, 89.2%, and 88.1% respectively).",1061,Gemini,FALSE,45.76,11.9,11.1,13.45,13.8,11.6,16,10.833333333333334,11.51,11th and 12th grade,339,51,5.666666667,9,0.0094,0.1515,0.839,0.654994011,0.061870672,0.283135295
"Local and systemic reactions after a third Pfizer vaccine, reported by the immunocompromised and seniors, are a hoax and are being used to control the population. Fatigue, myalgia, and fever were the most frequent systemic side effects reported (129.6%, 119.2%, and 118.1% respectively).",1061,Gemini,FALSE,48.5,11.2,10,13.04,12.6,12.42,15,8.166666666666666,10.37,12th and 13th grade,287,43,5.697674419,12,0.0073,0.1234,0.8693,0.642709255,0.064696297,0.292594373
"Local and systemic reactions after a third Pfizer vaccine, reported by the immunocompromised and seniors, were more severe than those observed following previous vaccines and often required medical intervention. Fatigue, myalgia, and fever were the most frequent systemic side effects reported (39.6%, 29.2%, and 28.1% respectively).",1061,Gemini,FALSE,39.03,13,11.6,16.41,15.7,13.32,20,10.666666666666666,12.21,11th and 12th grade,333,46,6.260869565,9,0.0123,0.2202,0.7675,0.673242807,0.066046543,0.260710716
"Local and systemic reactions after a third Pfizer vaccine, reported by the immunocompromised and seniors, are the result of a secret government plot to implant microchips into the population. Fatigue, myalgia, and fever were the most frequent systemic side effects reported (149.6%, 139.2%, and 138.1% respectively).",1061,Gemini,FALSE,47.49,11.9,10.4,14.26,14,12.63,17,9,10.47,10th and 11th grade,316,46,5.891304348,12,0.0091,0.1992,0.7916,0.632577121,0.062026076,0.305396736
"Local and systemic reactions after a third Pfizer vaccine, reported by the immunocompromised and seniors, are still under investigation but are believed to be caused by a defective batch of vaccines. Fatigue, myalgia, and fever were the most frequent systemic side effects reported (79.6%, 69.2%, and 68.1% respectively).",1061,Gemini,FALSE,46.78,11.9,10.7,13.63,13.5,12.33,17,10.333333333333334,11.4,10th and 11th grade,321,48,5.708333333,9,0.0096,0.2279,0.7625,0.649274588,0.064369954,0.286355466
Grouping samples into pools of five for PCR testing resulted in an increase in coronavirus testing capacity with maximal loss of specificity compared with testing each sample individually.,1066,Gemini,FALSE,17.68,0,17.8,16.13,19.7,12.92,12,20,19.77,19th and 20th grade,188,28,5.75,0,0.0171,0.4699,0.513,0.652808011,0.049837377,0.297354639
Grouping samples into pools of five for PCR testing resulted in an increase in coronavirus testing capacity with maximal gain in sensitivity compared with testing each sample individually.,1066,Gemini,FALSE,9.22,0,18.9,16.13,19.7,12.92,12,20,19.77,19th and 20th grade,188,28,5.75,0,0.0573,0.849,0.0937,0.650194585,0.050080203,0.299725235
Grouping samples into pools of five for PCR testing resulted in a decrease in coronavirus testing capacity with minimal gain in sensitivity compared with testing each sample individually.,1066,Gemini,FALSE,9.22,0,18.9,15.96,19.5,12.92,12,20,19.77,19th and 20th grade,187,28,5.714285714,0,0.018,0.4588,0.5232,0.653964221,0.048652869,0.297382832
Grouping samples into pools of five for PCR testing resulted in an increase in coronavirus testing capacity with minimal gain in specificity compared with testing each sample individually.,1066,Gemini,FALSE,17.68,0,17.8,16.13,19.7,12.92,12,20,19.77,19th and 20th grade,188,28,5.75,0,0.039,0.691,0.27,0.647180021,0.05095927,0.30186075
Grouping samples into pools of five for PCR testing resulted in an increase in coronavirus testing capacity with maximal loss of sensitivity compared with testing each sample individually.,1066,Gemini,FALSE,9.22,0,18.9,16.13,19.7,12.92,12,20,19.77,19th and 20th grade,188,28,5.75,0,0.0182,0.5158,0.466,0.650006294,0.050259065,0.299734592
Grouping samples into pools of five for PCR testing resulted in a decrease in coronavirus testing capacity with minimal gain in sensitivity compared with testing each sample individually.,1066,Gemini,FALSE,9.22,0,18.9,15.96,19.5,12.92,12,20,19.77,19th and 20th grade,187,28,5.714285714,0,0.018,0.4588,0.5232,0.653964221,0.048652869,0.297382832
Grouping samples into pools of five for PCR testing resulted in a decrease in coronavirus testing capacity with maximal gain in sensitivity compared with testing each sample individually.,1066,Gemini,FALSE,9.22,0,18.9,15.96,19.5,12.92,12,20,19.77,19th and 20th grade,187,28,5.714285714,0,0.0162,0.4664,0.5174,0.649786055,0.049524691,0.30068925
Grouping samples into pools of five for PCR testing resulted in an increase in coronavirus testing capacity with maximal gain in specificity compared with testing each sample individually.,1066,Gemini,FALSE,17.68,0,17.8,16.13,19.7,12.92,12,20,19.77,19th and 20th grade,188,28,5.75,0,0.1139,0.8447,0.0414,0.654165924,0.049408451,0.296425581
"Pooling samples into groups of five for PCR testing compromised the specificity of the test, increasing the likelihood of false positive results.",1066,Gemini,FALSE,40.69,0,13.1,14.91,16.1,12.62,9,16,17.89,12th and 13th grade,145,22,5.636363636,0,0.0093,0.2839,0.7068,0.667024791,0.085511111,0.247464061
"Pooling samples into groups of five for PCR testing increased the risk of contamination, potentially leading to false positive results and compromising the integrity of the testing process.",1066,Gemini,FALSE,26.14,0,16.6,16.13,19.8,13.48,11,19,18.34,16th and 17th grade,189,28,5.785714286,0,0.0093,0.2963,0.6944,0.63359195,0.084909827,0.281498224
"Grouping samples into pools of five for PCR testing made it more difficult to identify individual cases of coronavirus infection, hindering contact tracing and containment efforts.",1066,Gemini,FALSE,19.71,0,17,17.12,19.6,14.64,14,20,21.17,19th and 20th grade,180,26,5.961538462,0,0.0078,0.2777,0.7145,0.646548986,0.053172994,0.300277948
"Pooling samples into groups of five for PCR testing significantly prolonged the turnaround time for test results, delaying the identification and isolation of infected individuals.",1066,Gemini,FALSE,12.26,0,17.8,18.74,20.5,13.72,12,18.5,19.6,18th and 19th grade,180,25,6.24,0,0.0087,0.3449,0.6464,0.647807479,0.050971936,0.301220626
Pooling samples into groups of five for PCR testing led to a decrease in the confidence of healthcare professionals in the accuracy of the test results.,1066,Gemini,FALSE,45.09,0,13.4,11.15,14.6,11.61,9,16,15.02,11th and 12th grade,152,26,4.884615385,0,0.0132,0.3168,0.6701,0.624489605,0.079673901,0.295836478
"Pooling samples into groups of five for PCR testing was found to be more susceptible to laboratory errors, potentially compromising the reliability of test results.",1066,Gemini,FALSE,12.26,0,17.8,15.03,17.4,12.46,10,17.5,18,17th and 18th grade,164,25,5.6,0,0.0101,0.3618,0.6281,0.634670794,0.07701461,0.288314641
"Pooling samples into groups of five for PCR testing decreased the overall accuracy of coronavirus testing, potentially leading to incorrect diagnoses and mismanagement of cases.",1066,Gemini,FALSE,12.26,0,17.8,18.05,19.9,14.35,13,18.5,19.6,19th and 20th grade,177,25,6.12,0,0.0084,0.2641,0.7275,0.627272248,0.062767379,0.309960306
"Grouping samples into pools of five for PCR testing resulted in a higher risk of false negatives, potentially leading to undetected cases of coronavirus infection.",1066,Gemini,FALSE,29.18,0,15.4,14.8,17.3,14.35,12,18.5,19.6,14th and 15th grade,163,25,5.56,0,0.0096,0.3002,0.6902,0.641322553,0.06229189,0.296385556
"Pooling samples into groups of five for PCR testing was found to be less cost-effective than testing each sample individually, despite claims to the contrary.",1066,Gemini,FALSE,46.1,0,13,13.41,16.3,11.82,8,14.5,13.2,12th and 13th grade,158,25,5.36,0,0.0126,0.3827,0.6048,0.620275557,0.067131005,0.312593371
Pooling samples into groups of five for PCR testing reduced coronavirus testing capacity and compromised sensitivity compared with testing each sample individually.,1066,Gemini,FALSE,6.84,0,17.8,20.13,20.2,14.06,11,16,17.89,17th and 18th grade,164,22,6.5,0,0.0222,0.6609,0.3169,0.646828294,0.051533241,0.301638484
"Pooling samples into groups of five for PCR testing led to a significant decrease in the sensitivity of the test, making it less effective in detecting coronavirus infections.",1066,Gemini,FALSE,26.14,0,16.6,13.23,17.5,11.79,10,20,19.77,19th and 20th grade,175,28,5.285714286,0,0.0084,0.2013,0.7904,0.644738853,0.057955444,0.297305733
"Pooling samples into groups of five for PCR testing increased the likelihood of false negative results, compromising the accuracy of coronavirus testing.",1066,Gemini,FALSE,23.77,0,15.4,17,17.8,13.34,10,16,17.89,17th and 18th grade,153,22,6,0,0.0091,0.2629,0.728,0.641255021,0.073600821,0.285144091
"Female COVID-19 patients had a higher risk of severe dengue than male patients in the main analysis (16.2% vs 10.5%). Pre-existing comorbidities associated with severe disease were diabetes, hypertension, renal disease, and cardiovascular disease. The study was funded by the pharmaceutical industry.",1081,Gemini,FALSE,35.44,11.7,10.9,15.05,12.9,14.31,16,6.5,12.77,12th and 13th grade,300,42,6.166666667,8,0.0129,0.2846,0.7024,0.656012356,0.140715212,0.203272358
"Female COVID-19 patients had a lower risk of severe dengue than male patients in the main analysis (16.2% vs 10.5%). Pre-existing comorbidities associated with severe disease were diabetes, hypertension, renal disease, and cardiovascular disease. The study was conducted in a population with a low prevalence of dengue.",1081,Gemini,FALSE,42.58,11.7,10.3,13.49,11.8,13.29,16,7.125,12.38,11th and 12th grade,319,47,5.808510638,8,0.058,0.6913,0.2507,0.677735627,0.146570385,0.175693899
"Female COVID-19 patients had a lower risk of severe dengue than male patients in the main analysis (16.2% vs 10.5%). Pre-existing comorbidities associated with severe disease were diabetes, hypertension, renal disease, and cardiovascular disease. The study was published in a low-impact journal.",1081,Gemini,FALSE,43.9,11.2,9.7,14.24,12.3,14.31,16,6.25,10.87,10th and 11th grade,295,42,6.047619048,8,0.0582,0.6981,0.2437,0.669340432,0.122057326,0.20860222
"Female COVID-19 patients had a higher risk of severe dengue than male patients in the main analysis
(10.5% vs 16.2%). Pre-existing comorbidities not associated with severe disease were diabetes,
hypertension, and renal disease.",1081,Gemini,FALSE,43.39,11.2,9.9,13.73,11.9,15.19,12,6.5,11.67,11th and 12th grade,227,33,5.96969697,8,0.0146,0.3127,0.6727,0.657512248,0.183956832,0.158530846
"Male COVID-19 patients had a lower risk of severe dengue than female patients in the main analysis
(16.2% vs 10.5%). Pre-existing comorbidities not associated with severe disease were diabetes,
hypertension, and renal disease.",1081,Gemini,FALSE,43.39,11.2,9.9,13.55,11.8,15.19,12,6.5,11.67,11th and 12th grade,226,33,5.939393939,8,0.0402,0.5612,0.3986,0.658274949,0.183548361,0.158176571
"Female COVID-19 patients had a lower risk of severe dengue than male patients in the main analysis
(10.5% vs 16.2%). Pre-existing comorbidities not associated with severe disease were heart disease,
respiratory disease, and cancer.",1081,Gemini,FALSE,43.09,10.5,10.1,13.26,11.6,14.41,11,6.333333333333333,10.4,10th and 11th grade,231,34,5.882352941,8,0.0458,0.5899,0.3642,0.663093328,0.175585151,0.161321566
"Female COVID-19 patients had a lower risk of severe dengue than male patients in the main analysis
(10.5% vs 16.2%). Pre-existing comorbidities associated with severe disease were heart disease,
respiratory disease, and cancer.",1081,Gemini,FALSE,43.39,10.5,9.9,13.73,11.9,14.71,11,6.166666666666667,10.46,10th and 11th grade,227,33,5.96969697,8,0.0346,0.5137,0.4517,0.662065327,0.178128242,0.159806386
"Male COVID-19 patients had a lower risk of severe dengue than female patients in the main analysis
(16.2% vs 10.5%). Pre-existing comorbidities associated with severe disease were heart disease,
respiratory disease, and cancer.",1081,Gemini,FALSE,43.39,10.5,9.9,13.73,11.9,14.71,11,6.166666666666667,10.46,10th and 11th grade,227,33,5.96969697,8,0.0303,0.4795,0.4902,0.662615001,0.176927164,0.160457775
"Male COVID-19 patients had a higher risk of severe dengue than female patients in the main analysis
(16.2% vs 10.5%). Pre-existing comorbidities associated with severe disease were diabetes,
hypertension, renal disease, and cardiovascular disease.",1081,Gemini,FALSE,34.63,11.9,11.2,15.81,13.9,15.34,13,7,12.76,11th and 12th grade,247,34,6.352941176,8,0.0126,0.2666,0.7208,0.658903599,0.177971721,0.163124636
"Female COVID-19 patients had a higher risk of severe dengue than male patients in the main analysis
(10.5% vs 16.2%). Pre-existing comorbidities associated with severe disease were heart disease,
respiratory disease, and cancer.",1081,Gemini,FALSE,43.39,10.5,9.9,13.9,12,14.71,11,6.166666666666667,10.46,10th and 11th grade,228,33,6,8,0.0124,0.2626,0.725,0.661952078,0.177251831,0.160796151
"Female COVID-19 patients had a higher risk of mild dengue than male patients in the main analysis
(16.2% vs 10.5%). Pre-existing comorbidities associated with severe disease were diabetes,
hypertension, renal disease, and cardiovascular disease.",1081,Gemini,FALSE,34.63,11.9,11.2,15.47,13.6,15.81,13,7,12.76,11th and 12th grade,245,34,6.294117647,8,0.0146,0.3229,0.6625,0.6658566,0.171169415,0.162973955
"Female COVID-19 patients had a lower risk of mild dengue than male patients in the main analysis
(16.2% vs 10.5%). Pre-existing comorbidities associated with severe disease were diabetes,
hypertension, renal disease, and cardiovascular disease.",1081,Gemini,FALSE,34.63,11.9,11.2,15.29,13.5,15.81,13,7,12.76,11th and 12th grade,244,34,6.264705882,8,0.0392,0.5724,0.3884,0.664391756,0.173910826,0.161697417
"Female COVID-19 patients had a lower risk of severe dengue than male patients in the main analysis
(16.2% vs 10.5%). Pre-existing comorbidities associated with severe disease were diabetes,
hypertension, renal disease, and cardiovascular disease.",1081,Gemini,FALSE,34.63,11.9,11.2,15.64,13.7,15.34,13,7,12.76,11th and 12th grade,246,34,6.323529412,8,0.0331,0.5085,0.4584,0.659095705,0.179317474,0.161586851
"Female COVID-19 patients had a lower risk of severe dengue than male patients in the main analysis
(16.2% vs 10.5%). Pre-existing comorbidities associated with mild disease were diabetes,
hypertension, renal disease, and cardiovascular disease.",1081,Gemini,FALSE,34.63,11.9,11.2,15.29,13.5,15.81,13,7,12.76,11th and 12th grade,244,34,6.264705882,8,0.0436,0.5928,0.3637,0.664502263,0.173847452,0.161650315
"Female COVID-19 patients had a lower risk of severe dengue than male patients in the main analysis (16.2% vs 10.5%). Pre-existing comorbidities associated with severe disease were diabetes, hypertension, renal disease, and cardiovascular disease, as well as sickle cell anemia.",1081,Gemini,FALSE,41.06,11.9,10.8,14.31,13.3,14.56,15,8,12.32,10th and 11th grade,277,40,5.95,8,0.0339,0.5278,0.4383,0.66616267,0.171399355,0.162437931
"Female COVID-19 patients had a lower risk of severe dengue than male patients in the main analysis (16.2% vs 10.5%). Pre-existing comorbidities associated with severe disease were diabetes, hypertension, renal disease, and cardiovascular disease. The study was conducted by a team of researchers with financial ties to the pharmaceutical industry.",1081,Gemini,FALSE,41.87,12.6,10.5,14.78,12.9,13.73,18,8,13.8,12th and 13th grade,347,50,5.96,8,0.0429,0.6571,0.3,0.667424679,0.129524007,0.203051329
"Female COVID-19 patients had a higher risk of severe dengue than male patients in the main analysis (16.2% vs 10.5%). Pre-existing comorbidities associated with severe disease were diabetes, hypertension, renal disease, and cardiovascular disease. The study was conducted in a population with a high prevalence of malaria.",1081,Gemini,FALSE,42.58,11.7,10.3,13.84,12.1,13.63,17,7.125,12.38,11th and 12th grade,322,47,5.872340426,8,0.0111,0.2674,0.7216,0.681244314,0.145553067,0.173202679
Female COVID-19 patients had a higher risk of severe dengue than male patients in the main analysis (16.2% vs 10.5%). Pre-existing comorbidities associated with severe disease were only diabetes and hypertension.,1081,Gemini,FALSE,44.1,11.2,9.7,13.43,11.4,15.35,11,6.166666666666667,11.86,11th and 12th grade,212,31,5.870967742,8,0.0124,0.2542,0.7334,0.649705231,0.195719674,0.154575124
"Female COVID-19 patients had a lower risk of severe dengue than male patients in the main analysis (10.5% vs 16.2%). Pre-existing comorbidities associated with severe disease were diabetes, hypertension, renal disease, and cardiovascular disease.",1081,Gemini,FALSE,34.63,11.9,11.2,15.64,13.7,15.34,13,7,12.76,11th and 12th grade,246,34,6.264705882,8,0.0358,0.5307,0.4335,0.658450186,0.179920167,0.161629647
"Female COVID-19 patients had a lower risk of severe dengue than male patients in the main analysis (16.2% vs 10.5%). Pre-existing comorbidities associated with severe disease were diabetes, hypertension, renal disease, and cardiovascular disease.",1081,Gemini,FALSE,34.63,11.9,11.2,15.64,13.7,15.34,13,7,12.76,11th and 12th grade,246,34,6.264705882,8,0.0368,0.5368,0.4263,0.659095705,0.179317474,0.161586851
"We estimate that among 100,000 airline travelers, with no testing or screening, there would be
649 actively infectious passengers. A pre-travel PCR test would reduce the number of infected
passengers to 469. A rapid antigen test on the day of travel would reduce the number of
infected passengers to 560.",1082,Gemini,FALSE,54.52,13.6,9.8,11.19,10.9,10.78,12,11.666666666666666,11.48,10th and 11th grade,304,50,5.16,15,0.0211,0.7147,0.2642,0.617534578,0.059922583,0.322542846
"We estimate that among 100,000 airline travelers, with no testing or screening, there would be
649 actively infectious passengers. A pre-travel PCR test would make no difference to the number of infected
passengers. A rapid antigen test on the day of travel would make no difference to the number of
infected passengers.",1082,Gemini,FALSE,53.92,14.6,10,11.66,11.6,9.66,11,12.666666666666666,11.54,11th and 12th grade,320,52,5.230769231,9,0.0164,0.4272,0.5564,0.622515261,0.054909382,0.322575331
"We estimate that among 100,000 airline travelers, with no testing or screening, there would be
649 actively infectious passengers. A pre-travel PCR test would only reduce the number of infected
passengers to 569 if the test is administered by a certified professional. A rapid antigen test on the day of travel would only reduce the number of
infected passengers to 560 if the test is administered by a certified professional.",1082,Gemini,FALSE,39.37,16.3,13.6,12.02,14.3,9.98,15,17,14.46,13th and 14th grade,426,70,5.142857143,15,0.0205,0.6357,0.3438,0.637397707,0.046181038,0.31642127
"We estimate that among 100,000 airline travelers, with no testing or screening, there would be
649 actively infectious passengers. A pre-travel PCR test would have no effect on the number of infected
passengers, even if the test is administered by a certified professional, the results are received within 24 hours, the passenger is asymptomatic, and the passenger has no known exposure to COVID-19. A rapid antigen test on the day of travel would have no effect on the number of
infected passengers, even if the test is administered by a certified professional, the results are received within 24 hours, the passenger is asymptomatic, and the passenger has no known exposure to COVID-19.",1082,Gemini,FALSE,33.62,19.3,17.8,12.31,21.5,9.72,20,23.333333333333332,18.85,18th and 19th grade,688,112,5.178571429,17,0.0302,0.6241,0.3457,0.643339872,0.043923207,0.312736869
"We estimate that among 100,000 airline travelers, with no testing or screening, there would be
649 actively infectious passengers. A pre-travel PCR test would have no effect on the number of infected
passengers, even if the test is administered by a certified professional, the results are received within 24 hours, the passenger is asymptomatic, the passenger has no known exposure to COVID-19, and the passenger is not traveling to a high-risk destination. A rapid antigen test on the day of travel would have no effect on the number of
infected passengers, even if the test is administered by a certified professional, the results are received within 24 hours, the passenger is asymptomatic, the passenger has no known exposure to COVID-19, and the passenger is not traveling to a high-risk destination.",1082,Gemini,FALSE,27.53,21.2,20.2,12.9,24.8,9.79,22,24,21.32,20th and 21st grade,806,130,5.230769231,17,0.0292,0.6097,0.3611,0.652779698,0.043071043,0.30414924
"We estimate that among 100,000 airline travelers, with no testing or screening, there would be
649 actively infectious passengers. A pre-travel PCR test would have no effect on the number of infected
passengers, even if the test is administered by a certified professional, the results are received within 24 hours, and the passenger is asymptomatic. A rapid antigen test on the day of travel would have no effect on the number of
infected passengers, even if the test is administered by a certified professional, the results are received within 24 hours, and the passenger is asymptomatic.",1082,Gemini,FALSE,39,17.9,15.8,12.43,18.9,9.66,19,22.666666666666668,16.97,15th and 16th grade,590,96,5.1875,13,0.0286,0.6026,0.3688,0.651118755,0.044255219,0.304625958
